IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.234.9,2083,true,TPE,Asia Pacific,Taipei,82 ms,4656 kB/s
47.242.79.71,8443,true,LAX,North America,Los Angeles,212 ms,4552 kB/s
47.242.252.237,2083,true,LAX,North America,Los Angeles,216 ms,4529 kB/s
47.243.183.127,2096,true,SJC,North America,San Jose,255 ms,4516 kB/s
47.242.202.230,443,true,SJC,North America,San Jose,64 ms,4481 kB/s
8.210.101.157,2083,true,LAX,North America,Los Angeles,220 ms,4470 kB/s
8.210.207.214,2083,true,LAX,North America,Los Angeles,202 ms,4411 kB/s
47.236.232.148,2087,true,SIN,Asia Pacific,Singapore,221 ms,4410 kB/s
8.210.207.214,2096,true,SJC,North America,San Jose,252 ms,4383 kB/s
47.242.157.96,2053,true,LAX,North America,Los Angeles,219 ms,4303 kB/s
8.217.248.220,2096,true,NRT,Asia Pacific,Tokyo,116 ms,4247 kB/s
8.210.101.157,8443,true,SJC,North America,San Jose,253 ms,4201 kB/s
47.236.232.148,2083,true,SIN,Asia Pacific,Singapore,218 ms,4162 kB/s
47.242.79.71,2053,true,SJC,North America,San Jose,241 ms,4146 kB/s
47.242.252.237,2087,true,LAX,North America,Los Angeles,215 ms,4144 kB/s
8.217.248.220,8443,true,NRT,Asia Pacific,Tokyo,125 ms,4130 kB/s
47.243.173.187,2096,true,LAX,North America,Los Angeles,218 ms,4120 kB/s
47.236.232.148,8443,true,SIN,Asia Pacific,Singapore,215 ms,4090 kB/s
47.242.157.96,8443,true,LAX,North America,Los Angeles,221 ms,4075 kB/s
47.243.173.187,2083,true,LAX,North America,Los Angeles,226 ms,4052 kB/s
47.243.107.148,8443,true,SJC,North America,San Jose,248 ms,4051 kB/s
8.217.248.220,2083,true,NRT,Asia Pacific,Tokyo,107 ms,3980 kB/s
47.242.157.96,2087,true,LAX,North America,Los Angeles,232 ms,3898 kB/s
47.76.243.157,80,true,SIN,Asia Pacific,Singapore,76 ms,3794 kB/s
47.238.52.160,80,true,SIN,Asia Pacific,Singapore,64 ms,3794 kB/s
47.76.159.146,2053,true,LAX,North America,Los Angeles,203 ms,3777 kB/s
47.76.159.146,2096,true,SJC,North America,San Jose,256 ms,3712 kB/s
8.218.11.90,8443,true,LAX,North America,Los Angeles,217 ms,3544 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,299 ms,3533 kB/s
47.236.232.148,2096,true,SIN,Asia Pacific,Singapore,217 ms,3458 kB/s
8.217.248.220,2053,true,NRT,Asia Pacific,Tokyo,126 ms,3390 kB/s
47.243.107.148,2096,true,LAX,North America,Los Angeles,202 ms,3330 kB/s
47.245.96.80,8443,true,SIN,Asia Pacific,Singapore,231 ms,3279 kB/s
8.210.55.134,2053,true,LAX,North America,Los Angeles,204 ms,3237 kB/s
47.243.173.187,8443,true,LAX,North America,Los Angeles,207 ms,3219 kB/s
47.242.157.96,2083,true,SJC,North America,San Jose,284 ms,3161 kB/s
47.243.234.9,2087,true,TPE,Asia Pacific,Taipei,89 ms,3155 kB/s
47.76.159.146,8443,true,LAX,North America,Los Angeles,211 ms,3087 kB/s
47.76.213.245,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,3021 kB/s
47.76.159.146,2083,true,SJC,North America,San Jose,252 ms,2991 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,293 ms,2943 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,223 ms,2932 kB/s
47.242.252.237,8443,true,LAX,North America,Los Angeles,203 ms,2914 kB/s
8.217.49.34,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,2870 kB/s
47.242.155.183,2083,true,NRT,Asia Pacific,Tokyo,109 ms,2859 kB/s
47.238.36.250,80,true,SIN,Asia Pacific,Singapore,55 ms,2849 kB/s
47.243.234.9,8443,true,TPE,Asia Pacific,Taipei,83 ms,2834 kB/s
47.242.202.230,8443,true,LAX,North America,Los Angeles,216 ms,2815 kB/s
47.243.173.187,2053,true,LAX,North America,Los Angeles,210 ms,2806 kB/s
47.242.202.230,2053,true,SJC,North America,San Jose,249 ms,2787 kB/s
47.238.44.224,80,true,SIN,Asia Pacific,Singapore,61 ms,2691 kB/s
47.245.96.80,2053,true,SIN,Asia Pacific,Singapore,234 ms,2674 kB/s
47.243.234.9,2096,true,TPE,Asia Pacific,Taipei,96 ms,2649 kB/s
8.210.101.157,2096,true,SJC,North America,San Jose,246 ms,2618 kB/s
47.242.202.230,2087,true,SJC,North America,San Jose,248 ms,2607 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,2497 kB/s
47.242.202.230,2096,true,LAX,North America,Los Angeles,206 ms,2497 kB/s
47.242.157.96,2096,true,SJC,North America,San Jose,265 ms,1999 kB/s
8.210.55.134,8443,true,SJC,North America,San Jose,252 ms,1923 kB/s
47.238.138.232,80,true,CGK,Asia Pacific,Jakarta,63 ms,1916 kB/s
47.243.173.187,2087,true,LAX,North America,Los Angeles,204 ms,1896 kB/s
47.243.107.148,2087,true,SJC,North America,San Jose,241 ms,1870 kB/s
47.76.254.36,80,true,SIN,Asia Pacific,Singapore,58 ms,1785 kB/s
47.243.118.63,443,true,HKG,Asia Pacific,Hong Kong,60 ms,1631 kB/s
47.76.213.245,2053,true,SIN,Asia Pacific,Singapore,98 ms,1318 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,255 ms,1004 kB/s
47.76.233.67,2053,true,TPE,Asia Pacific,Taipei,90 ms,943 kB/s
47.238.36.145,80,true,SIN,Asia Pacific,Singapore,68 ms,940 kB/s
47.243.42.155,2087,true,TPE,Asia Pacific,Taipei,76 ms,843 kB/s
47.243.42.155,2096,true,TPE,Asia Pacific,Taipei,75 ms,835 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,755 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,73 ms,553 kB/s
47.236.181.185,8443,true,SIN,Asia Pacific,Singapore,218 ms,550 kB/s
8.222.193.65,2083,true,SIN,Asia Pacific,Singapore,222 ms,489 kB/s
47.245.96.80,2083,true,SIN,Asia Pacific,Singapore,227 ms,438 kB/s
149.129.8.215,443,true,SJC,North America,San Jose,98 ms,387 kB/s
47.76.245.164,80,true,SIN,Asia Pacific,Singapore,72 ms,291 kB/s
47.242.59.216,2096,true,TPE,Asia Pacific,Taipei,84 ms,272 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,81 ms,224 kB/s
8.222.193.65,2087,true,SIN,Asia Pacific,Singapore,217 ms,192 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,64 kB/s
8.217.251.62,2087,true,LAX,North America,Los Angeles,215 ms,33 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,63 ms,22 kB/s
8.210.92.27,443,true,NRT,Asia Pacific,Tokyo,59 ms,14 kB/s
47.250.36.83,80,true,SIN,Asia Pacific,Singapore,166 ms,3 kB/s
47.242.155.183,2053,true,NRT,Asia Pacific,Tokyo,133 ms,0 kB/s
47.242.59.216,2083,true,TPE,Asia Pacific,Taipei,81 ms,0 kB/s
8.217.251.62,2053,true,LAX,North America,Los Angeles,212 ms,0 kB/s
47.76.213.245,2096,true,HKG,Asia Pacific,Hong Kong,55 ms,0 kB/s
8.222.193.65,8443,true,SIN,Asia Pacific,Singapore,219 ms,0 kB/s
47.242.59.216,2087,true,TPE,Asia Pacific,Taipei,77 ms,0 kB/s
47.242.59.216,8443,true,TPE,Asia Pacific,Taipei,95 ms,0 kB/s
47.236.169.164,8443,true,SIN,Asia Pacific,Singapore,230 ms,0 kB/s
47.250.150.193,80,true,SIN,Asia Pacific,Singapore,167 ms,0 kB/s
