IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,42,3.09
47.243.86.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,3.09
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,12,3.09
8.219.240.160,2083,2083,true,SIN,Asia Pacific,Singapore,100,3.09
8.219.240.160,2096,2096,true,SIN,Asia Pacific,Singapore,70,3.08
8.218.136.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,52,3.08
8.217.85.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,3.08
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,3.08
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,19,3.08
47.242.54.157,80,80,false,HKG,Asia Pacific,Hong Kong,51,3.07
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,88,3.07
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,127,3.06
47.245.86.230,2086,2086,false,SIN,Asia Pacific,Singapore,27,3.06
47.76.80.72,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,3.05
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,113,3.05
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,3.05
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,48,3.05
8.210.245.224,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,3.05
47.76.49.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,3.05
47.76.49.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,3.05
47.90.141.204,443,443,true,LAX,North America,Los Angeles,227,3.05
47.242.174.27,2086,2086,false,HKG,Asia Pacific,Hong Kong,47,3.04
47.236.170.54,8080,8080,false,SIN,Asia Pacific,Singapore,23,3.04
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,3.04
47.242.232.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,3.03
47.243.86.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,80,3.03
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,34,3.03
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,59,3.02
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,69,3.02
8.222.164.209,443,443,true,SIN,Asia Pacific,Singapore,47,3.02
8.218.85.128,443,443,true,HKG,Asia Pacific,Hong Kong,60,3.01
47.243.107.148,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,3.01
8.217.159.210,2095,2095,false,HKG,Asia Pacific,Hong Kong,48,3.01
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,3.01
47.245.105.224,2052,2052,false,SIN,Asia Pacific,Singapore,45,3.01
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,63,3.00
8.222.237.131,2083,2083,true,SIN,Asia Pacific,Singapore,15,3.00
8.210.34.188,80,80,false,HKG,Asia Pacific,Hong Kong,49,3.00
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,2.99
8.217.149.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,2.98
8.217.193.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,2.98
47.245.102.52,2095,2095,false,SIN,Asia Pacific,Singapore,4,2.98
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,2.97
8.217.85.14,2086,2086,false,HKG,Asia Pacific,Hong Kong,54,2.96
8.219.202.130,8443,8443,true,SIN,Asia Pacific,Singapore,133,2.96
47.236.202.91,2052,2052,false,SIN,Asia Pacific,Singapore,27,2.96
47.254.153.108,443,443,true,FRA,Europe,Frankfurt,266,2.96
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,65,2.96
47.245.84.124,2052,2052,false,SIN,Asia Pacific,Singapore,13,2.95
47.243.27.217,80,80,false,HKG,Asia Pacific,Hong Kong,45,2.95
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,55,2.95
47.236.174.206,2083,2083,true,SIN,Asia Pacific,Singapore,62,2.95
8.217.147.230,2095,2095,false,HKG,Asia Pacific,Hong Kong,55,2.94
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,14,2.94
47.243.86.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,75,2.93
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,24,2.93
47.243.60.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,52,2.93
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,2.92
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,42,2.92
47.243.139.243,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,2.92
47.243.74.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,2.92
8.222.184.198,2052,2052,false,SIN,Asia Pacific,Singapore,13,2.91
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,2.91
47.237.0.31,8080,8080,false,SIN,Asia Pacific,Singapore,34,2.91
8.222.180.86,2086,2086,false,SIN,Asia Pacific,Singapore,10,2.90
47.243.42.219,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,2.90
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,22,2.90
8.217.221.165,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,2.89
47.245.114.163,8080,8080,false,SIN,Asia Pacific,Singapore,49,2.89
47.243.90.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,98,2.89
47.90.141.204,443,443,true,LAX,North America,Los Angeles,218,2.88
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,75,2.88
47.76.77.103,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,2.88
8.217.145.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,105,2.88
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,69,2.87
