IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.55.61.76,30580,443,true,LAX,North America,Los Angeles,176,0.10
104.166.125.210,443,443,true,LAX,North America,Los Angeles,354,0.08
152.70.155.147,2087,0,true,LAX,North America,Los Angeles,182,0.08
91.149.239.234,443,443,true,LAX,North America,Los Angeles,178,0.00
152.70.155.147,2095,0,false,LAX,North America,Los Angeles,180,0.00
154.17.28.20,8086,8080,false,LAX,North America,Los Angeles,2,0.00
154.21.88.85,11843,443,true,LAX,North America,Los Angeles,5,0.00
45.140.88.163,37258,443,true,LAX,North America,Los Angeles,1,0.00
20.14.93.89,2053,8443,true,LAX,North America,Los Angeles,191,0.00
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,182,0.00
154.21.88.85,34868,443,true,LAX,North America,Los Angeles,1,0.00
154.21.90.142,8443,443,true,LAX,North America,Los Angeles,171,0.00
199.180.155.172,443,443,true,LAX,North America,Los Angeles,369,0.00
154.21.93.122,20180,443,true,LAX,North America,Los Angeles,351,0.00
154.21.88.85,19324,443,true,LAX,North America,Los Angeles,1,0.00
154.21.88.85,26148,443,true,LAX,North America,Los Angeles,4,0.00
154.21.88.85,19865,443,true,LAX,North America,Los Angeles,3,0.00
154.21.88.85,12776,443,true,LAX,North America,Los Angeles,1,0.00
154.21.88.85,38087,443,true,LAX,North America,Los Angeles,1,0.00
38.60.89.42,8082,8080,false,LAX,North America,Los Angeles,178,0.00
38.47.239.164,48348,443,true,LAX,North America,Los Angeles,364,0.00
